# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Ne		L3 edge	21.55	0.38			21.564	0.010				
Ne		L2 edge	21.63	0.39			21.661	0.010				
Na		L3M1	31.09	0.37								
Na		L2M1	31.3	1.4								
Na		L3 edge	38.21	0.37	30.61	0.56	30.40	0.20				1d
Na		L2 edge	38.38	0.37	30.61	0.56	30.60	0.10				1d
Mg		L3M1	49.14	0.36								
Mg		L2M1	49.4	1.4								
Ne		L1 edge	53.04	0.40			48.445	0.050				
Mg		L3 edge	57.90	0.35	49.454	0.029	49.790	0.061				1d
Mg		L2 edge	58.16	0.35	49.732	0.030	49.50	0.10				1d
Na		L1M1	68.0	1.4								
Al		L3M1	69.1	1.2								
Al		L2M1	69.5	1.2								
Al		L3M2	73.7	1.2								
Al		L2M2	74.2	1.2								
Na		L1 edge	75.16	0.35			63.57	0.20				
Al		L3 edge	82.03	0.34	72.760	0.063	72.870	0.061				1d
Al		L2 edge	82.44	0.34	72.760	0.063	72.75	0.20				1d
Mg		L1M1	92.0	1.4								
Si		L3M1	93.81	0.93								
Si		L2M1	95.3	1.1								
Si		L3M2	100.63	0.93								
Mg		L1 edge	100.75	0.29	62.839	0.047	88.62	0.20				1d
Si		L2M2	102.11	0.93								
Si		L3 edge	109.10	0.34	100.8	1.2	99.340	0.061				1d
Si		L2 edge	110.59	0.34	100.8	1.2	99.20	0.10				1d
Al		L1M1	117.7	1.1								
P		L3M1	121.41	0.78								
Al		L1M2	122.3	1.1								
P		L2M1	123.0	1.2								
P		L3M3	126.1	1.2								
P		L2M3	127.7	1.2								
P		L3M2	129.07	0.78								
Al		L1 edge	130.62	0.25	87.005	0.090	117.87	0.30				1d
P		L2M2	130.65	0.79								
P		L3 edge	139.51	0.32	131.9	2.1	130.010	0.061				1d
P		L2 edge	141.10	0.33	131.9	2.1	136.0	1.0				1d
Si		L1M1	148.42	0.91								
S		L3M1	151.29	0.80	148.66	0.79					L2,3M1	1d
S		L2M1	153.1	1.4	148.66	0.79					L2,3M1	1d
Si		L1M2	155.24	0.79								
S		L3M3	158.73	0.92								
S		L2M3	160.52	0.93								
S		L3M2	160.93	0.80								
S		L2M2	162.72	0.81								
Si		L1 edge	163.72	0.20			149.80	0.50				
S		L3 edge	172.91	0.32			163.820	0.061				
S		L2 edge	174.70	0.33			163.60	0.30				
P		L1M1	181.7	1.0								
Cl		L3M1	183.31	0.83	182.60	0.36						1d
Cl		L2M1	185.7	1.5	184.14	0.36						1d
P		L1M3	186.4	1.0								
P		L1M2	189.34	0.62								
Cl		L3M3	193.91	0.69								
Cl		L3M2	195.37	0.83								
Cl		L2M3	196.31	0.70								
Cl		L2M2	197.77	0.84								
P		L1 edge	199.79	0.16			189.0	1.0				
Cl		L3 edge	209.09	0.31			200.0	1.0				
Cl		L2 edge	211.49	0.33			202.0	1.0				
S		L1M1	217.5	1.1								
Ar		L3M1	219.52	0.77	220.22	0.58						1d
Ar		L2M1	221.5	1.7	221.79	0.59						1d
S		L1M3	224.96	0.72								
S		L1M2	227.17	0.60								
Ar		L3M2	233.40	0.77								
Ar		L3M3	233.57	0.77								
Ar		L2M2	235.41	0.78								
Ar		L2M3	235.58	0.78								
S		L1 edge	239.15	0.11								
Ar		L3 edge	249.54	0.31			248.46	0.53				
Ar		L2 edge	251.55	0.32			250.57	0.27				
Cl		L1M1	256.0	1.3								
K		L3M1	260.38	0.91	259.703	0.081						1d
K		L2M1	263.0	1.7	262.45	0.16						1d
Cl		L1M3	266.62	0.52								
Cl		L1M2	268.08	0.66								
K		L3M3	276.90	0.80								
K		L3M2	277.18	0.91								
K		L2M3	279.52	0.81								
K		L2M2	279.81	0.93								
Cl		L1 edge	281.80	0.15			270.0	1.0				
K		L3N1	296.54	0.36								
Ar		L1M1	297.3	1.6								
K		L2N1	299.17	0.38								
K		L3 edge	301.62	0.31	294.5	1.0	294.55	0.22				1d
Ca		L3M1	302.80	0.77	302.69	0.22						1d
K		L2 edge	304.25	0.33	294.5	1.0	297.28	0.23				1d
Ca		L2M1	306.2	1.6	306.43	0.22						1d
Ar		L1M2	311.18	0.69								
Ar		L1M3	311.35	0.69								
Ca		L3M2	323.34	0.77								
Ca		L3M3	323.71	0.77								
Ca		L2M2	326.76	0.79								
Ca		L2M3	327.12	0.78								
Ar		L1 edge	327.31	0.23			326.30	0.10				
Ca		L3M4			341.27	0.28					L3M4,5	1d
Ca		L3M5			341.27	0.28					L3M4,5	1d
Ca		L2M4			344.97	0.28						1d
K		L1M1	345.0	1.5								
Sc		L3M1	348.70	0.99	348.36	0.43						1d
Ca		L3N1	352.23	0.37								
Sc		L2M1	353.4	1.7	352.92	0.30						1d
Ca		L2N1	355.64	0.39								
Ca		L3 edge	358.37	0.30	349.34	0.15	346.611	0.066	356.28	0.50		1d 22v
K		L1M3	361.52	0.71								
Ca		L2 edge	361.79	0.32	352.92	0.15	350.40	0.39				1d
K		L1M2	361.81	0.82								
Sc		L3M2	371.01	0.99								
Sc		L3M3	372.78	0.99								
Sc		L2M2	375.7	1.0								
Sc		L2M3	377.5	1.0								
K		L1N1	381.16	0.27								
K		L1 edge	386.25	0.22			378.60	0.30				
Ca		L1M1	394.9	1.5								
Sc		L3M5			395.48	0.56					L3M4,5	1d
Ti		L3M1	396.7	1.0	395.35	0.37						1d
Sc		L3M4	400.64	0.60	395.48	0.56					L3M4,5	1d
Ti		L2M1	403.0	1.8	401.37	0.58						1d
Sc		L3N1	405.01	0.37								
Sc		L2M4	405.35	0.62	399.69	0.38						1d
Sc		L2N1	409.73	0.40								
Sc		L3 edge	411.53	0.31			398.55	0.47				
Ca		L1M2	415.43	0.68								
Ca		L1M3	415.80	0.67								
Sc		L2 edge	416.25	0.33			403.62	0.22				
Ti		L3M2	420.5	1.0								
Ti		L3M3	424.1	1.1								
Ti		L2M2	426.8	1.1								
Ti		L2M3	430.4	1.1								
Ca		L1N1	444.32	0.27								
Sc		L1M1	447.3	1.7								
V		L3M1	447.5	1.1	446.46	0.24						1d
Ca		L1 edge	450.46	0.20			438.50	0.50				
Ti		L3M5			452.16	0.49					L3M4,5	1d
Ti		L3M4	455.57	0.61	452.16	0.49					L3M4,5	1d
V		L2M1	455.7	1.8	453.48	0.74						1d
Ti		L3N1	460.72	0.37								
Ti		L2M4	461.88	0.64	458.35	0.50						1d
Ti		L2N1	467.03	0.40								
Ti		L3 edge	467.55	0.31	454.31	0.25	453.979	0.061				1d
Sc		L1M2	469.59	0.98								
Sc		L1M3	471.36	0.97								
V		L3M2	472.6	1.1								
Ti		L2 edge	473.85	0.33	454.31	0.25	460.00	0.23				1d
V		L3M3	478.2	1.1								
V		L2M2	480.8	1.1								
V		L2M3	486.4	1.2								
Sc		L1M4	499.22	0.59								
Cr		L3M1	500.3	1.1	500.33	0.30						1d
Ti		L1M1	502.5	1.8								
Sc		L1N1	503.60	0.36								
Sc		L1 edge	510.11	0.29			498.00	0.30				
Cr		L2M1	510.2	1.8	510.22	0.93						1d
V		L3M5			511.27	0.94					L3M4,5	1d
V		L3M4	513.54	0.63	511.27	0.94					L3M4,5	1d
V		L3N1	519.38	0.38								
V		L2M4	521.74	0.65	519.2	1.3						1d
Ti		L1M2	526.3	1.1								
V		L3 edge	526.50	0.31			512.21	0.22				
Cr		L3M2	526.9	1.1								
V		L2N1	527.58	0.40								
Ti		L1M3	529.9	1.1								
Cr		L3M3	533.2	1.2								
V		L2 edge	534.69	0.33			519.72	0.19				
Cr		L2M2	536.7	1.1								
Cr		L2M3	543.0	1.2								
Mn		L3M1	557.6	1.1	556.22	0.37						1d
V		L1M1	560.8	1.8								
Ti		L1M4	561.36	0.64								
Ti		L1N1	566.50	0.40								
Mn		L2M1	569.5	1.7	567.42	0.77						1d
Cr		L3M4	572.94	0.64	572.9	1.2					L3M4,5	1d
Ti		L1 edge	573.33	0.33			561.05	0.60				
Cr		L3N1	575.15	0.38								
Cr		L3M5	576.95	0.30	572.9	1.2					L3M4,5	1d
Cr		L3 edge	581.78	0.30	598.9	4.3	574.36	0.13	576.28	0.50		1d 18v
Cr		L2M4	582.76	0.67	582.90	0.41						1d
Cr		L2N1	584.96	0.41								
V		L1M2	585.9	1.1	585.1	3.7					L1M2,3	1d
Cr		L2M5	586.76	0.33								
Mn		L3M2	587.3	1.1								
V		L1M3	591.5	1.2	585.1	3.7					L1M2,3	1d
Cr		L2 edge	591.60	0.33	692.6	5.7	583.57	0.48				1d
Mn		L3M3	594.6	1.2								
Mn		L2M2	599.2	1.2								
Mn		L2M3	606.5	1.3								
Fe		L3M1	617.0	1.2	615.30	0.45						1d
Cr		L1M1	620.9	1.8								
V		L1M4	626.83	0.69								
Fe		L2M1	630.6	1.7	627.8	1.9						1d
V		L1N1	632.67	0.44								
Mn		L3M4	639.42	0.66	637.44	0.49					L3M4,5	1d
V		L1 edge	639.78	0.37			626.86	0.60				
Mn		L3M5	640.44	0.69	637.44	0.49					L3M4,5	1d
Mn		L3N1	646.36	0.38								
Cr		L1M2	647.4	1.2	653.9	1.0					L1M2,3	1d
Fe		L3M2	650.1	1.2								
Mn		L2M4	651.32	0.69	648.8	1.0						1d
Mn		L2M5	652.34	0.72								
Cr		L1M3	653.8	1.3	653.9	1.0					L1M2,3	1d
Mn		L3 edge	654.02	0.31			638.89	0.14	649.00	0.50		 19v
Fe		L3M3	656.8	1.3								
Mn		L2N1	658.26	0.41								
Fe		L2M2	663.7	1.2								
Mn		L2 edge	665.92	0.33			649.88	0.19				
Fe		L2M3	670.4	1.3								
Co		L3M1	679.3	1.2	677.80	0.44						1d
Mn		L1M1	686.5	1.8								
Cr		L1M4	693.47	0.74								
Co		L2M1	694.9	1.7	693.8	1.7						1d
Cr		L1N1	695.68	0.47								
Cr		L1M5	697.48	0.40								
Cr		L1 edge	702.31	0.40	742.4	6.6	696.37	0.60				1d
Fe		L3M4	707.46	0.67	704.8	1.2					L3M4,5	1d
Fe		L3M5	708.38	0.70	704.8	1.2					L3M4,5	1d
Fe		L3N1	714.80	0.38								
Co		L3M2	715.9	1.2								
Mn		L1M2	716.2	1.3	721.2	1.2					L1M2,3	1d
Fe		L2M4	721.07	0.70	718.32	0.62						1d
Co		L3M3	721.9	1.3								
Fe		L2M5	721.99	0.73								
Fe		L3 edge	722.74	0.31	707.46	0.30	706.86	0.14				1d
Mn		L1M3	723.5	1.4	721.2	1.2					L1M2,3	1d
Fe		L2N1	728.41	0.41								
Co		L2M2	731.5	1.2								
Fe		L2 edge	736.35	0.34	720.74	0.31	719.80	0.39				1d
Co		L2M3	737.4	1.3								
Ni		L3M1	744.5	1.2	742.72	0.59						1d
Fe		L1M1	754.1	1.8								
Ni		L2M1	762.2	1.7	762.0	2.1						1d
Mn		L1M4	768.34	0.80								
Mn		L1M5	769.36	0.82								
Mn		L1N1	775.27	0.51								
Co		L3M4	778.71	0.69	776.25	0.43					L3M4,5	1d
Co		L3M5	779.52	0.71	776.25	0.43					L3M4,5	1d
Mn		L1 edge	782.94	0.44			769.48	0.90				
Ni		L3M2	784.7	1.2								
Co		L3N1	786.42	0.39								
Fe		L1M2	787.2	1.3	792.2	1.5					L1M2,3	1d
Ni		L3M3	789.9	1.3								
Fe		L1M3	793.8	1.4	792.2	1.5					L1M2,3	1d
Co		L2M4	794.27	0.72	791.41	0.60						1d
Co		L3 edge	794.62	0.31	779.03	0.36	778.36	0.21				1d
Co		L2M5	795.08	0.74								
Co		L2N1	801.98	0.42								
Ni		L2M2	802.4	1.3								
Ni		L2M3	807.6	1.3								
Co		L2 edge	810.18	0.34	793.84	0.38	793.38	0.71				1d
Cu		L3M1	811.7	1.3	811.08	0.71						1d
Ne		KL1	817.69	0.56								
Co		L1M1	824.9	1.9								
Cu		L2M1	831.4	1.6	832.1	1.7						1d
Fe		L1M4	844.52	0.85								
Fe		L1M5	845.44	0.87								
Ne		KL2	849.09	0.54	848.61	0.26					KL2,3	1d
Ne		KL3	849.17	0.54	848.61	0.26					KL2,3	1d
Fe		L1N1	851.86	0.55								
Ni		L3M4	853.19	0.71	851.47	0.26					L3M4,5	1d
Ni		L3M5	853.87	0.72	851.47	0.26					L3M4,5	1d
Cu		L3M2	855.8	1.3								
Ne		KM1			857.89	0.44					KM	1d
Ne		KM2			857.89	0.44					KM	1d
Ne		KM3			857.89	0.44					KM	1d
Ne		KM4			857.89	0.44					KM	1d
Ne		KM5			857.89	0.44					KM	1d
Cu		L3M3	858.8	1.3								
Fe		L1 edge	859.80	0.48			848.6	2.0				
Ni		L3N1	861.23	0.39								
Co		L1M2	861.4	1.4	866.4	2.7					L1M2,3	1d
Co		L1M3	867.4	1.5	866.4	2.7					L1M2,3	1d
Ni		L3 edge	869.70	0.31	853.58	0.43	852.74	0.34				1d
Ne		K edge	870.73	0.16	866.9001	0.0090	870.23	0.18				1d
Ni		L2M4	870.95	0.74	868.77	0.54						1d
Ni		L2M5	871.63	0.76								
Cu		L2M2	875.6	1.3								
Cu		L2M3	878.5	1.4								
Ni		L2N1	878.98	0.42								
Zn		L3M1	883.6	1.4	884.3	1.9						1d
Ni		L2 edge	887.46	0.34	870.54	0.45	870.0	1.4				1d
Ni		L1M1	898.9	1.9								
Zn		L2M1	906.5	1.7	906.3	2.0						1d
Co		L1M4	924.27	0.90								
Co		L1M5	925.07	0.92								
Cu		L3M4	929.38	0.72	929.68	0.31					L3M4,5	1d
Cu		L3M5	929.71	0.74	929.68	0.31					L3M4,5	1d
Zn		L3M2	931.7	1.4								
Co		L1N1	931.97	0.59								
Cu		L3N1	932.11	0.39								
Zn		L3M3	934.5	1.3								
Ni		L1M2	939.1	1.5	940.7	1.1					L1M2,3	1d
Cu		L3 edge	939.85	0.31	933.04	0.10	932.68	0.45	939.50	0.50		1d 20v
Co		L1 edge	940.18	0.51			925.26	0.59				
Ni		L1M3	944.3	1.6	940.7	1.1					L1M2,3	1d
Cu		L2M4	949.11	0.76	949.84	0.32						1d
Cu		L2M5	949.44	0.77								
Cu		L2N1	951.84	0.43								
Zn		L2M2	954.6	1.4								
Zn		L2M3	957.4	1.4								
Ga		L3M1	958.5	1.3	957.17	0.22						1d
Cu		L2 edge	959.58	0.34	952.68	0.11	952.5	1.0	959.70	0.50		1d 20v
Cu		L1M1	975.0	1.8								
Ga		L2M1	985.3	1.6	984.22	0.23						1d
Na		KL1	1004.99	0.49								
Ni		L1M4	1007.62	0.95								
Ni		L1M5	1008.30	0.97								
Ga		L3M2	1009.9	1.3								
Zn		L3M4	1011.87	0.75	1011.77	0.37					L3M4,5	1d
Zn		L3M5	1012.21	0.75	1011.77	0.37					L3M4,5	1d
Ga		L3M3	1013.9	1.3								
Ni		L1N1	1015.65	0.63								
Cu		L1M2	1019.1	1.5	1022.79	1.00					L1M2,3	1d
Zn		L3N1	1020.44	0.40								
Cu		L1M3	1022.0	1.6	1022.79	1.00					L1M2,3	1d
Ni		L1 edge	1024.13	0.55			1008.4	1.1				
Zn		L3 edge	1029.45	0.31	1022.03	0.12	1021.8	1.2				1d
Zn		L2M4	1034.76	0.80	1034.65	0.38						1d
Zn		L2M5	1035.10	0.80								
Ga		L2M2	1036.7	1.3								
Ge		L3M1	1037.3	1.4	1036.21	0.51						1d
Ga		L2M3	1040.7	1.4								
Na		KL2	1041.77	0.51	1040.98	0.12					KL2,3	1d
Na		KL3	1041.94	0.51	1040.98	0.12					KL2,3	1d
Zn		L2N1	1043.33	0.45								
Zn		L2 edge	1052.33	0.36	1045.21	0.13	1044.94	0.58				1d
Zn		L1M1	1057.5	1.9								
Ge		L2M1	1068.3	1.5	1067.98	0.27						1d
Na		KM2			1071.12	0.27					KM	1d
Na		KM3			1071.12	0.27					KM	1d
Na		KM4			1071.12	0.27					KM	1d
Na		KM5			1071.12	0.27					KM	1d
Na		KM1	1073.0	1.2	1071.12	0.27					KM	1d
Na		K edge	1080.15	0.15	1071.68	0.14	1071.52	0.13				1d
Cu		L1M4	1092.7	1.0								
Ge		L3M2	1092.7	1.4								
Cu		L1M5	1093.0	1.0								
Cu		L1N1	1095.39	0.67								
Ge		L3M3	1097.4	1.4								
Ga		L3M4	1098.03	0.75	1097.97	0.14					L3M4,5	1d
Ga		L3M5	1098.59	0.76	1097.97	0.14					L3M4,5	1d
Cu		L1 edge	1103.12	0.59			1098.0	1.5				
Zn		L1M2	1105.6	1.7	1107.0	1.0					L1M2,3	1d
Zn		L1M3	1108.4	1.6	1107.0	1.0					L1M2,3	1d
Ga		L3N1	1113.79	0.49								
Ga		L3N2	1118.61	0.36								
As		L3M1	1119.5	1.3	1119.78	0.15						1d
Ge		L2M2	1123.7	1.5								
Ga		L2M4	1124.82	0.79	1124.76	0.30						1d
Ga		L2M5	1125.39	0.80								
Ga		L3 edge	1125.86	0.31	1116.96	0.15	1116.57	0.30				1d
Ge		L2M3	1128.4	1.5								
Ga		L2N1	1140.59	0.54								
Ga		L1M1	1142.5	1.8								
Ga		L2N2	1145.40	0.40								
Ga		L2 edge	1152.66	0.35	1145.02	0.78	1143.62	0.31				1d
As		L2M1	1155.2	1.5	1155.04	0.16						1d
As		L3M2	1178.1	1.3								
As		L3M3	1183.7	1.3								
Zn		L1M4	1185.7	1.0								
Zn		L1M5	1186.1	1.0								
Ge		L3M4	1187.91	0.78	1188.01	0.13					L3M4,5	1d
Ge		L3M5	1188.66	0.78	1188.01	0.13					L3M4,5	1d
Ga		L1M2	1193.9	1.6	1196.9	1.4					L1M2,3	1d
Zn		L1N1	1194.31	0.66								
Ga		L1M3	1197.9	1.7	1196.9	1.4					L1M2,3	1d
Zn		L1 edge	1203.31	0.58	949.3	1.1	1196.7	1.4				1d
Se		L3M1	1205.3	1.3	1204.41	0.17						1d
Mg		KL1	1211.54	0.43								
Ge		L3N1	1212.05	0.67								
As		L2M2	1213.8	1.4								
Ge		L2M4	1218.91	0.82	1218.50	0.18						1d
Ge		L3N2	1219.17	0.51								
As		L2M3	1219.3	1.4								
Ge		L2M5	1219.65	0.83								
Ge		L3 edge	1227.15	0.31	1217.06	0.18	1217.33	0.55				1d
Ge		L1M1	1231.9	1.9								
Ge		L2N1	1243.05	0.72								
Se		L2M1	1246.0	1.5	1244.55	0.18						1d
Ge		L2N2	1250.17	0.56								
Mg		KL2	1254.14	0.49	1253.437	0.013						2d
Mg		KL3	1254.39	0.49	1253.688	0.011						2d
Ge		L2 edge	1258.15	0.35	1249.32	0.19	1248.08	0.34				1d
Se		L3M2	1267.7	1.3								
Se		L3M3	1273.9	1.3								
As		L3M4	1281.56	0.79	1282.01	0.16					L3M4,5	1d
Ga		L1M4	1282.0	1.1								
As		L3M5	1282.41	0.79	1282.01	0.16					L3M4,5	1d
Ga		L1M5	1282.6	1.1								
Ge		L1M2	1287.3	1.9	1286.12	0.39						1d
Ge		L1M3	1292.0	1.8	1294.04	0.40						1d
Br		L3M1	1294.5	1.4	1293.50	0.20						1d
Ga		L1N1	1297.80	0.83								
Mg		KM2			1302.20	0.40					KM	1d
Mg		KM3			1302.20	0.40					KM	1d
Mg		KM4			1302.20	0.40					KM	1d
Mg		KM5			1302.20	0.40					KM	1d
Ga		L1N2	1302.61	0.70								
Mg		KM1	1303.5	1.2	1302.20	0.40					KM	1d
Se		L2M2	1308.4	1.4								
Ga		L1 edge	1309.87	0.65	1302.7	1.0	1302.6	1.5				1d
Mg		K edge	1312.30	0.14	1303.403	0.020	1303.33	0.27				1d
Se		L2M3	1314.7	1.4								
As		L3N1	1315.19	0.91								
As		L2M4	1317.21	0.82	1316.99	0.17						1d
As		L2M5	1318.06	0.82								
As		L3N3	1322.90	0.37								
As		L3N2	1324.46	0.78								
As		L1M1	1326.3	1.8								
As		L3 edge	1333.26	0.31	1323.61	0.21	1323.92	0.41				1d
Br		L2M1	1340.9	1.4	1339.63	0.21						1d
As		L2N1	1350.84	0.95								
As		L2N3	1358.54	0.41								
As		L2N2	1360.10	0.82								
Br		L3M2	1360.8	1.4								
Br		L3M3	1368.1	1.3								
As		L2 edge	1368.90	0.35	1358.71	0.22	1359.74	0.26				1d
Se		L3M4	1378.92	0.80	1379.11	0.11					L3M4,5	1d
Se		L3M5	1379.88	0.80	1379.11	0.11					L3M4,5	1d
Ge		L1M4	1382.5	1.2								
Ge		L1M5	1383.2	1.2								
As		L1M2	1384.9	1.7	1388.54	0.23					L1M2,3	1d
Kr		L3M1	1386.9	1.4								
As		L1M3	1390.4	1.7	1388.54	0.23					L1M2,3	1d
Ge		L1N1	1406.6	1.1								
Br		L2M2	1407.2	1.4								
Ge		L1N2	1413.76	0.93								
Br		L2M3	1414.4	1.4								
