// wK,wL,wM
// Source: Bambynek et al. (1972).,,
0,0,0
0,0,0
0,0,0
0.00045,0,0
0.00101,0,0
0.00198,0,0
0.00351,0,0
0.00579,0,0
0.00901,0,0
0.0134,0,0
0.0192,0,0
0.0265,0,0
0.0357,0,0
0.0469,0,0
0.0603,0,0
0.076,0,0
0.0941,0,0
0.115,0,0
0.138,0,0
0.163,0.00067,0
0.19,0.00092,0
0.219,0.00124,0
0.249,0.00163,0
0.281,0.0021,0
0.314,0.00267,0
0.347,0.00335,0
0.381,0.00415,0
0.414,0.00507,0
0.446,0.00614,0
0.479,0.00736,0
0.51,0.00875,0
0.54,0.0103,0
0.568,0.0121,0
0.596,0.014,0
0.622,0.0162,0
0.646,0.0186,0
0.669,0.0213,0
0.691,0.0242,0
0.711,0.0274,0
0.73,0.0308,0
0.747,0.0345,0
0.764,0.0385,0
0.779,0.0428,0
0.793,0.0474,0
0.806,0.0523,0
0.818,0.0575,0
0.83,0.063,0
0.84,0.0689,0
0.85,0.075,0
0.859,0.0815,0
0.867,0.0882,0
0.875,0.0953,0
0.882,0.103,0
0.888,0.11,0
0.895,0.118,0
0.9,0.126,0
0.906,0.135,0.00111
0.911,0.144,0.00115
0.915,0.153,0.0012
0.92,0.162,0.00124
0.924,0.171,0.00129
0.927,0.181,0.00133
0.931,0.19,0.00137
0.934,0.2,0.00141
0.937,0.21,0.00145
0.94,0.22,0.00149
0.943,0.231,0.00153
0.945,0.241,0.00156
0.947,0.251,0.0016
0.95,0.262,0.00163
0.952,0.272,0.00165
0.954,0.283,0.00168
0.956,0.294,0.0017
0.957,0.304,0.00172
0.959,0.315,0.00174
0.96,0.325,0.00175
0.962,0.335,0.00177
0.963,0.346,0.00177
0.964,0.356,0.00178
0.966,0.366,0.00178
0.967,0.376,0.00178
0.968,0.386,0.00177
0.969,0.396,0.001777
0.97,0.406,0.00175
0.971,0.415,0.00174
0.972,0.425,0.00172
0.972,0.434,0.0017
0.973,0.443,0.00167
0.974,0.452,0.00164
0.975,0.461,0.00161
0.975,0.469,0.00158
0.976,0.478,0.00155
0.9757,0.3958764,0.00135
0.9767,0.40004352,0.00132
0.9777,0.40421064,0.00129
0.9787,0.40837776,0.00126
